#Time Flux Flux-Trend Trend
2853.10527017 0.99831126 0.99573895 0.00257231
2853.12570187 0.99681449 0.99451152 0.00230297
2853.14613346 0.99533777 0.99312605 0.00221171
2853.16656525 0.99435183 0.99230728 0.00204454
2853.18699694 0.99299544 0.99123180 0.00176365
2853.20742854 0.99015381 0.98878708 0.00136673
2853.22786033 0.98833650 0.98710289 0.00123361
2853.24829202 0.98593003 0.98568603 0.00024400
2853.26872371 0.98267542 0.98332437 -0.00064895
2853.28915540 0.97874398 0.98027926 -0.00153528
2853.30958709 0.96910430 0.97158406 -0.00247976
2853.33001878 0.94197656 0.94532724 -0.00335067
2853.35045047 0.90675179 0.91097720 -0.00422541
2853.37088216 0.87147783 0.87666073 -0.00518290
2853.41174564 0.84277459 0.85031270 -0.00753810
2853.43217723 0.84120552 0.85002709 -0.00882158
2853.45260902 0.84127839 0.85139115 -0.01011275
2853.47304071 0.84141091 0.85225970 -0.01084878
2853.49347230 0.84364879 0.85537922 -0.01173043
2853.51390409 0.84612337 0.85846601 -0.01234263
2853.53433578 0.84856218 0.86128261 -0.01272043
2853.55476737 0.85190127 0.86477042 -0.01286915
2853.57519916 0.86393981 0.87649501 -0.01255520
2853.59563084 0.89281602 0.90493862 -0.01212259
2853.61606243 0.92513638 0.93680275 -0.01166636
2853.65692591 0.96967917 0.98046766 -0.01078848
2853.67735749 0.97340023 0.98382476 -0.01042453
2853.69778928 0.97684343 0.98702767 -0.01018424
2853.71822097 0.97905169 0.98905860 -0.01000692
2853.73865266 0.98196651 0.99134984 -0.00938333
2853.75908434 0.98493507 0.99351988 -0.00858481
2853.77951603 0.98753414 0.99533839 -0.00780425
2853.79994771 0.99042507 0.99729131 -0.00686624
2853.82037940 0.99245794 0.99911549 -0.00665756
2853.84081109 0.99402694 1.00026023 -0.00623329
2853.86124277 0.99591328 1.00179586 -0.00588258
2853.88167446 0.99844262 1.00381119 -0.00536857
2853.90210614 1.00073819 1.00547707 -0.00473887
2853.92253783 1.00390552 1.00779968 -0.00389416
2853.94296951 1.00555033 1.00856686 -0.00301653
2853.96340120 1.00759093 1.01040968 -0.00281875
2853.98383298 1.01083699 1.01291504 -0.00207805
2854.00426457 1.01258184 1.01397030 -0.00138846
2854.02469625 1.01509634 1.01596392 -0.00086758
2854.04512803 1.01866875 1.01898066 -0.00031191
2854.06555962 1.02220989 1.02201339 0.00019650
2854.08599130 1.02439703 1.02381028 0.00058675
2854.10642308 1.02606371 1.02524550 0.00081821
2854.14728645 1.02218825 1.02080943 0.00137882
2854.16771813 1.02091976 1.01929037 0.00162939
2854.18814971 1.01866467 1.01679404 0.00187063
2854.20858150 1.01679385 1.01471564 0.00207821
2854.22901318 1.01418763 1.01200326 0.00218437
2854.24944486 1.01252340 1.01019593 0.00232747
2854.26987654 1.01208174 1.00975136 0.00233039
2854.29030822 1.00987795 1.00758780 0.00229016
2854.31073991 1.00950381 1.00684109 0.00266272
2854.33117159 1.00862582 1.00556705 0.00305877
2854.35160327 1.00884199 1.00506895 0.00377304
2854.37203495 1.00866167 1.00375240 0.00490928
2854.39246663 1.00984618 1.00374458 0.00610160
2854.41289831 1.01056525 1.00323881 0.00732644
2854.43332999 1.01097854 1.00253477 0.00844377
2854.45376167 1.01150510 1.00248955 0.00901556
2854.47419335 1.01273436 1.00272867 0.01000569
2854.49462513 1.01458737 1.00353898 0.01104839
2854.51505671 1.01683263 1.00479315 0.01203948
2854.53548839 1.01248832 0.99948698 0.01300133
2854.55592017 1.00230280 0.98825057 0.01405222
2854.57635175 0.98995009 0.97495514 0.01499494
2854.59678343 0.98348184 0.96772692 0.01575491
2854.63764678 0.97776304 0.96095060 0.01681244
2854.65807846 0.97864941 0.96150726 0.01714216
2854.67851024 0.97921412 0.96204424 0.01716988
2854.69894182 0.97945777 0.96255679 0.01690098
2854.71937349 0.98082714 0.96454382 0.01628332
2854.73980527 0.98119250 0.96570316 0.01548934
2854.76023685 0.98144982 0.96676497 0.01468485
2854.78066853 0.98145810 0.96751948 0.01393862
2854.80110030 0.98462005 0.97118042 0.01343963
2854.82153198 0.99389609 0.98110455 0.01279155
2854.84196366 1.00495225 0.99287464 0.01207761
2854.86239533 1.01315827 1.00189633 0.01126194
2854.88282701 1.01399577 1.00352481 0.01047096
2854.90325868 1.01249418 1.00293520 0.00955898
2854.92369036 1.01253180 1.00388669 0.00864511
2854.94412204 1.01181713 1.00407894 0.00773819
2854.96455381 1.01084177 1.00396590 0.00687587
2854.98498539 1.01045264 1.00424256 0.00621008
2855.00541706 1.01075020 1.00531233 0.00543786
2855.02584884 1.01097073 1.00632687 0.00464387
2855.04628041 1.01225754 1.00850968 0.00374786
2855.06671209 1.01331582 1.01047442 0.00284140
2855.08714386 1.01407020 1.01203043 0.00203977
2855.10757543 1.01461916 1.01344328 0.00117588
2855.12800721 1.01525213 1.01493164 0.00032049
2855.14843888 1.01628281 1.01690344 -0.00062063
2855.16887046 1.01533187 1.01683443 -0.00150256
2855.18930223 1.01426470 1.01611382 -0.00184912
2855.20973380 1.01270193 1.01522357 -0.00252164
2855.23016548 1.01099263 1.01416781 -0.00317517
2855.25059725 1.01080366 1.01453063 -0.00372698
2855.27102882 1.00877482 1.01300279 -0.00422796
2855.29146049 1.00701543 1.01176126 -0.00474583
2855.31189227 1.00422934 1.00933858 -0.00510924
2855.33232394 1.00334086 1.00897789 -0.00563703
2855.37318728 1.00501260 1.01135527 -0.00634267
2855.39361895 1.00462114 1.01106127 -0.00644014
2855.41405053 1.00372834 1.01017998 -0.00645165
2855.43448230 1.00242768 1.00900612 -0.00657844
2855.45491397 1.00099912 1.00699649 -0.00599737
2855.47534574 0.99825110 1.00384579 -0.00559469
2855.49577731 0.99597597 1.00096192 -0.00498596
2855.51620898 0.99433495 0.99873811 -0.00440316
2855.53664075 0.99327000 0.99759768 -0.00432768
2855.55707232 0.99169809 0.99557819 -0.00388011
2855.57750399 0.99031020 0.99357237 -0.00326217
2855.61836733 0.99143143 0.99373251 -0.00230108
2855.63879900 0.98793752 0.98990023 -0.00196271
2855.65923077 0.98485809 0.98692256 -0.00206447
2855.67966234 0.98182212 0.98369308 -0.00187097
2855.70009401 0.97922183 0.98075466 -0.00153283
2855.72052578 0.97792232 0.97920306 -0.00128074
2855.74095735 0.96954739 0.97047335 -0.00092596
2855.76138901 0.94412846 0.94471209 -0.00058363
2855.78182078 0.91091823 0.91142883 -0.00051060
2855.80225245 0.87725621 0.87788840 -0.00063219
2855.82268412 0.85693800 0.85798793 -0.00104992
2855.84311579 0.85429116 0.85582214 -0.00153098
2855.86354745 0.85386582 0.85586289 -0.00199706
2855.88397912 0.85401788 0.85594003 -0.00192216
2855.90441079 0.85648672 0.85847586 -0.00198913
2855.92484236 0.85734975 0.85965820 -0.00230845
2855.94527412 0.85817939 0.86161460 -0.00343521
2855.96570579 0.85946998 0.86397014 -0.00450015
2855.98613746 0.85893668 0.86451724 -0.00558056
2856.00656912 0.86981017 0.87626830 -0.00645812
2856.02700079 0.89814017 0.90569308 -0.00755291
2856.10872735 0.96881828 0.98109571 -0.01227744
2856.12915912 0.96995844 0.98313464 -0.01317620
2856.14959078 0.97107500 0.98506286 -0.01398787
2856.17002255 0.97247778 0.98642377 -0.01394600
2856.19045411 0.97459587 0.98817669 -0.01358082
2856.21088578 0.97677599 0.98988568 -0.01310968
